,Region,Org Code,Modality,Month,MedianWaitDays,Year,Date
248,Y58,RVJ,Magnetic Resonance Imaging,Apr,5,2020,2020-04
252,Y58,RBZ,Computerized Axial Tomography,Apr,0,2020,2020-04
255,Y58,RBZ,Magnetic Resonance Imaging,Apr,10,2020,2020-04
263,Y58,RD3,Computerized Axial Tomography,Apr,0,2020,2020-04
266,Y58,RD3,Magnetic Resonance Imaging,Apr,3,2020,2020-04
269,Y58,RD3,Positron Emission Tomography,Apr,7,2020,2020-04
272,Y58,NTP,Magnetic Resonance Imaging,Apr,1,2020,2020-04
274,Y58,NVC,Computerized Axial Tomography,Apr,12,2020,2020-04
277,Y58,NVC,Magnetic Resonance Imaging,Apr,4,2020,2020-04
279,Y58,REF,Computerized Axial Tomography,Apr,0,2020,2020-04
282,Y58,REF,Magnetic Resonance Imaging,Apr,25,2020,2020-04
287,Y58,RH8,Computerized Axial Tomography,Apr,0,2020,2020-04
290,Y58,RH8,Magnetic Resonance Imaging,Apr,7,2020,2020-04
293,Y58,RH8,Positron Emission Tomography,Apr,11.5,2020,2020-04
295,Y58,RD1,Computerized Axial Tomography,Apr,0,2020,2020-04
298,Y58,RD1,Magnetic Resonance Imaging,Apr,6,2020,2020-04
301,Y58,RD1,Positron Emission Tomography,Apr,8,2020,2020-04
303,Y58,RNZ,Computerized Axial Tomography,Apr,0,2020,2020-04
306,Y58,RNZ,Magnetic Resonance Imaging,Apr,27,2020,2020-04
310,Y58,RH5,Computerized Axial Tomography,Apr,0,2020,2020-04
313,Y58,RH5,Magnetic Resonance Imaging,Apr,2,2020,2020-04
316,Y58,NT3,Computerized Axial Tomography,Apr,2,2020,2020-04
321,Y58,RDZ,Computerized Axial Tomography,Apr,0,2020,2020-04
324,Y58,RDZ,Magnetic Resonance Imaging,Apr,26,2020,2020-04
326,Y58,RA9,Computerized Axial Tomography,Apr,0,2020,2020-04
329,Y58,RA9,Magnetic Resonance Imaging,Apr,8,2020,2020-04
332,Y58,RA9,Positron Emission Tomography,Apr,12.5,2020,2020-04
334,Y58,RA7,Computerized Axial Tomography,Apr,0,2020,2020-04
337,Y58,RA7,Magnetic Resonance Imaging,Apr,8,2020,2020-04
340,Y58,RA7,Positron Emission Tomography,Apr,0,2020,2020-04
350,Y58,RK9,Computerized Axial Tomography,Apr,0,2020,2020-04
353,Y58,RK9,Magnetic Resonance Imaging,Apr,13,2020,2020-04
356,Y58,RK9,Positron Emission Tomography,Apr,13,2020,2020-04
358,Y58,RA4,Computerized Axial Tomography,Apr,0,2020,2020-04
361,Y58,RA4,Magnetic Resonance Imaging,Apr,2,2020,2020-04
363,Y58,RA4,Positron Emission Tomography,Apr,12,2020,2020-04
365,Y59,NT9,Magnetic Resonance Imaging,Apr,4,2020,2020-04
368,Y59,NT9,Positron Emission Tomography,Apr,7,2020,2020-04
369,Y59,RTK,Computerized Axial Tomography,Apr,0,2020,2020-04
372,Y59,RTK,Magnetic Resonance Imaging,Apr,3,2020,2020-04
375,Y59,NT4,Computerized Axial Tomography,Apr,3,2020,2020-04
378,Y59,NT4,Magnetic Resonance Imaging,Apr,5,2020,2020-04
380,Y59,RXH,Computerized Axial Tomography,Apr,0,2020,2020-04
383,Y59,RXH,Magnetic Resonance Imaging,Apr,2,2020,2020-04
388,Y59,RXQ,Computerized Axial Tomography,Apr,0,2020,2020-04
391,Y59,RXQ,Magnetic Resonance Imaging,Apr,0,2020,2020-04
397,Y59,NV3,Magnetic Resonance Imaging,Apr,16.5,2020,2020-04
400,Y59,RN7,Computerized Axial Tomography,Apr,0,2020,2020-04
403,Y59,RN7,Magnetic Resonance Imaging,Apr,14,2020,2020-04
408,Y59,RVV,Computerized Axial Tomography,Apr,0,2020,2020-04
411,Y59,RVV,Magnetic Resonance Imaging,Apr,10,2020,2020-04
414,Y59,RVV,Positron Emission Tomography,Apr,7,2020,2020-04
416,Y59,RXC,Computerized Axial Tomography,Apr,0,2020,2020-04
419,Y59,RXC,Magnetic Resonance Imaging,Apr,7,2020,2020-04
425,Y59,RDU,Computerized Axial Tomography,Apr,0,2020,2020-04
428,Y59,RDU,Magnetic Resonance Imaging,Apr,2,2020,2020-04
432,Y59,RN5,Computerized Axial Tomography,Apr,0,2020,2020-04
435,Y59,RN5,Magnetic Resonance Imaging,Apr,7,2020,2020-04
438,Y59,RN5,Positron Emission Tomography,Apr,0,2020,2020-04
440,Y59,NV1,Computerized Axial Tomography,Apr,20.5,2020,2020-04
442,Y59,NV1,Magnetic Resonance Imaging,Apr,22,2020,2020-04
444,Y59,R1F,Computerized Axial Tomography,Apr,0,2020,2020-04
447,Y59,R1F,Magnetic Resonance Imaging,Apr,7,2020,2020-04
449,Y59,RWF,Computerized Axial Tomography,Apr,1,2020,2020-04
452,Y59,RWF,Magnetic Resonance Imaging,Apr,7,2020,2020-04
455,Y59,RWF,Positron Emission Tomography,Apr,0,2020,2020-04
457,Y59,RPA,Computerized Axial Tomography,Apr,0,2020,2020-04
460,Y59,RPA,Magnetic Resonance Imaging,Apr,15,2020,2020-04
470,Y59,RTH,Computerized Axial Tomography,Apr,0,2020,2020-04
473,Y59,RTH,Magnetic Resonance Imaging,Apr,7,2020,2020-04
476,Y59,RTH,Positron Emission Tomography,Apr,11,2020,2020-04
478,Y59,RHU,Computerized Axial Tomography,Apr,0,2020,2020-04
481,Y59,RHU,Magnetic Resonance Imaging,Apr,8,2020,2020-04
484,Y59,RHU,Positron Emission Tomography,Apr,5.5,2020,2020-04
489,Y59,NTP,Magnetic Resonance Imaging,Apr,26,2020,2020-04
491,Y59,RPC,Computerized Axial Tomography,Apr,4,2020,2020-04
494,Y59,RPC,Magnetic Resonance Imaging,Apr,8,2020,2020-04
497,Y59,RPC,Positron Emission Tomography,Apr,11,2020,2020-04
499,Y59,NVC,Computerized Axial Tomography,Apr,2,2020,2020-04
502,Y59,NVC,Magnetic Resonance Imaging,Apr,3,2020,2020-04
504,Y59,RHW,Computerized Axial Tomography,Apr,0,2020,2020-04
507,Y59,RHW,Magnetic Resonance Imaging,Apr,2,2020,2020-04
510,Y59,RA2,Computerized Axial Tomography,Apr,0,2020,2020-04
513,Y59,RA2,Magnetic Resonance Imaging,Apr,10,2020,2020-04
517,Y59,RA2,Positron Emission Tomography,Apr,0,2020,2020-04
519,Y59,RW1,Computerized Axial Tomography,Apr,12,2020,2020-04
522,Y59,RW1,Magnetic Resonance Imaging,Apr,27,2020,2020-04
524,Y59,NT3,Computerized Axial Tomography,Apr,2,2020,2020-04
527,Y59,NT3,Magnetic Resonance Imaging,Apr,1,2020,2020-04
529,Y59,RTP,Computerized Axial Tomography,Apr,0,2020,2020-04
532,Y59,RTP,Magnetic Resonance Imaging,Apr,17,2020,2020-04
539,Y59,RHM,Computerized Axial Tomography,Apr,0,2020,2020-04
542,Y59,RHM,Magnetic Resonance Imaging,Apr,28,2020,2020-04
545,Y59,RHM,Positron Emission Tomography,Apr,7,2020,2020-04
547,Y59,RYR,Computerized Axial Tomography,Apr,0,2020,2020-04
550,Y59,RYR,Magnetic Resonance Imaging,Apr,6,2020,2020-04
554,Y60,NT9,Magnetic Resonance Imaging,Apr,14,2020,2020-04
556,Y60,NT9,Positron Emission Tomography,Apr,6,2020,2020-04
557,Y60,RQ3,Computerized Axial Tomography,Apr,0,2020,2020-04
560,Y60,RQ3,Magnetic Resonance Imaging,Apr,15,2020,2020-04
565,Y60,NT4,Computerized Axial Tomography,Apr,2,2020,2020-04
568,Y60,NT4,Magnetic Resonance Imaging,Apr,5,2020,2020-04
570,Y60,RFS,Computerized Axial Tomography,Apr,0,2020,2020-04
573,Y60,RFS,Magnetic Resonance Imaging,Apr,9,2020,2020-04
577,Y60,RLT,Computerized Axial Tomography,Apr,0,2020,2020-04
580,Y60,RLT,Magnetic Resonance Imaging,Apr,12,2020,2020-04
583,Y60,NV1,Magnetic Resonance Imaging,Apr,2,2020,2020-04
584,Y60,RNQ,Computerized Axial Tomography,Apr,0,2020,2020-04
587,Y60,RNQ,Magnetic Resonance Imaging,Apr,11,2020,2020-04
590,Y60,RNQ,Positron Emission Tomography,Apr,10.5,2020,2020-04
591,Y60,RNS,Computerized Axial Tomography,Apr,0,2020,2020-04
594,Y60,RNS,Magnetic Resonance Imaging,Apr,24,2020,2020-04
597,Y60,RNS,Positron Emission Tomography,Apr,5,2020,2020-04
599,Y60,RX1,Computerized Axial Tomography,Apr,0,2020,2020-04
602,Y60,RX1,Magnetic Resonance Imaging,Apr,6,2020,2020-04
605,Y60,RX1,Positron Emission Tomography,Apr,7,2020,2020-04
614,Y60,NVC,Computerized Axial Tomography,Apr,6,2020,2020-04
617,Y60,NVC,Magnetic Resonance Imaging,Apr,5,2020,2020-04
619,Y60,RXK,Computerized Axial Tomography,Apr,0,2020,2020-04
622,Y60,RXK,Magnetic Resonance Imaging,Apr,1,2020,2020-04
625,Y60,RXK,Positron Emission Tomography,Apr,0,2020,2020-04
627,Y60,RK5,Computerized Axial Tomography,Apr,0,2020,2020-04
630,Y60,RK5,Magnetic Resonance Imaging,Apr,4,2020,2020-04
633,Y60,RJC,Computerized Axial Tomography,Apr,1,2020,2020-04
636,Y60,RJC,Magnetic Resonance Imaging,Apr,22,2020,2020-04
638,Y60,NT3,Computerized Axial Tomography,Apr,1,2020,2020-04
641,Y60,NT3,Magnetic Resonance Imaging,Apr,1,2020,2020-04
643,Y60,RNA,Computerized Axial Tomography,Apr,0,2020,2020-04
646,Y60,RNA,Magnetic Resonance Imaging,Apr,9,2020,2020-04
651,Y60,RL1,Computerized Axial Tomography,Apr,0,2020,2020-04
654,Y60,RL1,Magnetic Resonance Imaging,Apr,5,2020,2020-04
656,Y60,RRJ,Computerized Axial Tomography,Apr,7,2020,2020-04
659,Y60,RRJ,Magnetic Resonance Imaging,Apr,26,2020,2020-04
664,Y60,RL4,Computerized Axial Tomography,Apr,0,2020,2020-04
667,Y60,RL4,Magnetic Resonance Imaging,Apr,2,2020,2020-04
671,Y60,RXW,Computerized Axial Tomography,Apr,0,2020,2020-04
674,Y60,RXW,Magnetic Resonance Imaging,Apr,6,2020,2020-04
679,Y60,RWD,Computerized Axial Tomography,Apr,0,2020,2020-04
682,Y60,RWD,Magnetic Resonance Imaging,Apr,6,2020,2020-04
685,Y60,RWD,Positron Emission Tomography,Apr,8,2020,2020-04
687,Y60,RRK,Computerized Axial Tomography,Apr,0,2020,2020-04
690,Y60,RRK,Magnetic Resonance Imaging,Apr,12,2020,2020-04
693,Y60,RRK,Positron Emission Tomography,Apr,10,2020,2020-04
695,Y60,RKB,Computerized Axial Tomography,Apr,1,2020,2020-04
698,Y60,RKB,Magnetic Resonance Imaging,Apr,30,2020,2020-04
701,Y60,RKB,Positron Emission Tomography,Apr,6,2020,2020-04
703,Y60,RTG,Computerized Axial Tomography,Apr,0,2020,2020-04
706,Y60,RTG,Magnetic Resonance Imaging,Apr,3,2020,2020-04
709,Y60,RTG,Positron Emission Tomography,Apr,0,2020,2020-04
711,Y60,RWE,Computerized Axial Tomography,Apr,0,2020,2020-04
714,Y60,RWE,Magnetic Resonance Imaging,Apr,21,2020,2020-04
717,Y60,RWE,Positron Emission Tomography,Apr,7,2020,2020-04
719,Y60,RJE,Computerized Axial Tomography,Apr,0,2020,2020-04
722,Y60,RJE,Magnetic Resonance Imaging,Apr,1,2020,2020-04
727,Y60,RBK,Computerized Axial Tomography,Apr,1,2020,2020-04
730,Y60,RBK,Magnetic Resonance Imaging,Apr,19,2020,2020-04
734,Y60,RWP,Computerized Axial Tomography,Apr,0,2020,2020-04
737,Y60,RWP,Magnetic Resonance Imaging,Apr,9,2020,2020-04
741,Y60,RLQ,Computerized Axial Tomography,Apr,0,2020,2020-04
744,Y60,RLQ,Magnetic Resonance Imaging,Apr,6,2020,2020-04
748,Y61,NT9,Magnetic Resonance Imaging,Apr,13,2020,2020-04
750,Y61,NT9,Positron Emission Tomography,Apr,6,2020,2020-04
751,Y61,RC9,Computerized Axial Tomography,Apr,0,2020,2020-04
754,Y61,RC9,Magnetic Resonance Imaging,Apr,5,2020,2020-04
761,Y61,NT4,Magnetic Resonance Imaging,Apr,1.5,2020,2020-04
763,Y61,RGT,Computerized Axial Tomography,Apr,0,2020,2020-04
766,Y61,RGT,Magnetic Resonance Imaging,Apr,6,2020,2020-04
769,Y61,RGT,Positron Emission Tomography,Apr,8,2020,2020-04
771,Y61,RWH,Computerized Axial Tomography,Apr,0,2020,2020-04
774,Y61,RWH,Magnetic Resonance Imaging,Apr,7,2020,2020-04
778,Y61,RDE,Computerized Axial Tomography,Apr,0,2020,2020-04
781,Y61,RDE,Magnetic Resonance Imaging,Apr,7,2020,2020-04
784,Y61,RDE,Positron Emission Tomography,Apr,5,2020,2020-04
787,Y61,NV1,Magnetic Resonance Imaging,Apr,2,2020,2020-04
789,Y61,RGP,Computerized Axial Tomography,Apr,0,2020,2020-04
792,Y61,RGP,Magnetic Resonance Imaging,Apr,16.5,2020,2020-04
795,Y61,RAJ,Computerized Axial Tomography,Apr,0,2020,2020-04
798,Y61,RAJ,Magnetic Resonance Imaging,Apr,8,2020,2020-04
802,Y61,RAJ,Positron Emission Tomography,Apr,8,2020,2020-04
804,Y61,RD8,Computerized Axial Tomography,Apr,0,2020,2020-04
807,Y61,RD8,Magnetic Resonance Imaging,Apr,2,2020,2020-04
809,Y61,RM1,Computerized Axial Tomography,Apr,1,2020,2020-04
812,Y61,RM1,Magnetic Resonance Imaging,Apr,4,2020,2020-04
815,Y61,RM1,Positron Emission Tomography,Apr,3,2020,2020-04
817,Y61,RGN,Computerized Axial Tomography,Apr,0,2020,2020-04
820,Y61,RGN,Magnetic Resonance Imaging,Apr,2,2020,2020-04
833,Y61,AWR,Computerized Axial Tomography,Apr,13,2020,2020-04
834,Y61,AWR,Magnetic Resonance Imaging,Apr,20,2020,2020-04
836,Y61,NVC,Computerized Axial Tomography,Apr,6,2020,2020-04
839,Y61,NVC,Magnetic Resonance Imaging,Apr,20,2020,2020-04
842,Y61,RGM,Computerized Axial Tomography,Apr,0,2020,2020-04
845,Y61,RGM,Magnetic Resonance Imaging,Apr,67,2020,2020-04
848,Y61,RGM,Positron Emission Tomography,Apr,0,2020,2020-04
850,Y61,NT3,Computerized Axial Tomography,Apr,2,2020,2020-04
853,Y61,NT3,Magnetic Resonance Imaging,Apr,2,2020,2020-04
855,Y61,RQW,Computerized Axial Tomography,Apr,0,2020,2020-04
858,Y61,RQW,Magnetic Resonance Imaging,Apr,5,2020,2020-04
863,Y61,RCX,Computerized Axial Tomography,Apr,0,2020,2020-04
866,Y61,RCX,Magnetic Resonance Imaging,Apr,7,2020,2020-04
869,Y61,RWG,Computerized Axial Tomography,Apr,0,2020,2020-04
872,Y61,RWG,Magnetic Resonance Imaging,Apr,1,2020,2020-04
876,Y61,RGR,Computerized Axial Tomography,Apr,0,2020,2020-04
879,Y61,RGR,Magnetic Resonance Imaging,Apr,4,2020,2020-04
883,Y62,RBS,Computerized Axial Tomography,Apr,0,2020,2020-04
886,Y62,RBS,Magnetic Resonance Imaging,Apr,7,2020,2020-04
892,Y62,NT9,Magnetic Resonance Imaging,Apr,15,2020,2020-04
893,Y62,NT9,Positron Emission Tomography,Apr,4,2020,2020-04
894,Y62,RXL,Computerized Axial Tomography,Apr,3,2020,2020-04
897,Y62,RXL,Magnetic Resonance Imaging,Apr,10,2020,2020-04
901,Y62,NT4,Computerized Axial Tomography,Apr,2,2020,2020-04
904,Y62,NT4,Magnetic Resonance Imaging,Apr,1.5,2020,2020-04
906,Y62,RMC,Computerized Axial Tomography,Apr,0,2020,2020-04
909,Y62,RMC,Magnetic Resonance Imaging,Apr,6,2020,2020-04
913,Y62,RJR,Computerized Axial Tomography,Apr,0,2020,2020-04
916,Y62,RJR,Magnetic Resonance Imaging,Apr,3,2020,2020-04
920,Y62,RJN,Computerized Axial Tomography,Apr,0,2020,2020-04
923,Y62,RJN,Magnetic Resonance Imaging,Apr,5,2020,2020-04
926,Y62,RXR,Computerized Axial Tomography,Apr,1,2020,2020-04
929,Y62,RXR,Magnetic Resonance Imaging,Apr,7,2020,2020-04
935,Y62,NV1,Magnetic Resonance Imaging,Apr,104,2020,2020-04
938,Y62,RXN,Computerized Axial Tomography,Apr,0,2020,2020-04
941,Y62,RXN,Magnetic Resonance Imaging,Apr,6,2020,2020-04
944,Y62,RXN,Positron Emission Tomography,Apr,5,2020,2020-04
946,Y62,RBQ,Computerized Axial Tomography,Apr,3,2020,2020-04
949,Y62,RBQ,Magnetic Resonance Imaging,Apr,1.5,2020,2020-04
952,Y62,REM,Computerized Axial Tomography,Apr,0,2020,2020-04
955,Y62,REM,Magnetic Resonance Imaging,Apr,8,2020,2020-04
959,Y62,REM,Positron Emission Tomography,Apr,7,2020,2020-04
965,Y62,R0A,Computerized Axial Tomography,Apr,0,2020,2020-04
968,Y62,R0A,Magnetic Resonance Imaging,Apr,3,2020,2020-04
972,Y62,R0A,Positron Emission Tomography,Apr,6,2020,2020-04
974,Y62,RBT,Computerized Axial Tomography,Apr,0,2020,2020-04
977,Y62,RBT,Magnetic Resonance Imaging,Apr,3,2020,2020-04
982,Y62,RW6,Computerized Axial Tomography,Apr,0,2020,2020-04
985,Y62,RW6,Magnetic Resonance Imaging,Apr,9,2020,2020-04
990,Y62,NVC,Computerized Axial Tomography,Apr,10,2020,2020-04
993,Y62,NVC,Magnetic Resonance Imaging,Apr,26,2020,2020-04
995,Y62,RM3,Computerized Axial Tomography,Apr,0,2020,2020-04
998,Y62,RM3,Magnetic Resonance Imaging,Apr,6,2020,2020-04
1003,Y62,RVY,Computerized Axial Tomography,Apr,0,2020,2020-04
1006,Y62,RVY,Magnetic Resonance Imaging,Apr,5,2020,2020-04
1009,Y62,RVY,Positron Emission Tomography,Apr,2,2020,2020-04
1010,Y62,NT3,Computerized Axial Tomography,Apr,10,2020,2020-04
1013,Y62,NT3,Magnetic Resonance Imaging,Apr,3,2020,2020-04
1015,Y62,RBN,Computerized Axial Tomography,Apr,0,2020,2020-04
1018,Y62,RBN,Magnetic Resonance Imaging,Apr,3,2020,2020-04
1021,Y62,RBN,Positron Emission Tomography,Apr,4,2020,2020-04
1023,Y62,RWJ,Computerized Axial Tomography,Apr,0,2020,2020-04
1026,Y62,RWJ,Magnetic Resonance Imaging,Apr,19,2020,2020-04
1030,Y62,RMP,Computerized Axial Tomography,Apr,1,2020,2020-04
1033,Y62,RMP,Magnetic Resonance Imaging,Apr,9,2020,2020-04
1037,Y62,RBV,Computerized Axial Tomography,Apr,21,2020,2020-04
1040,Y62,RBV,Magnetic Resonance Imaging,Apr,23,2020,2020-04
1044,Y62,RBV,Positron Emission Tomography,Apr,9,2020,2020-04
1046,Y62,REN,Computerized Axial Tomography,Apr,3,2020,2020-04
1049,Y62,REN,Magnetic Resonance Imaging,Apr,27,2020,2020-04
1052,Y62,REN,Positron Emission Tomography,Apr,7,2020,2020-04
1054,Y62,RET,Computerized Axial Tomography,Apr,0,2020,2020-04
1057,Y62,RET,Magnetic Resonance Imaging,Apr,8.5,2020,2020-04
1059,Y62,RTX,Computerized Axial Tomography,Apr,13,2020,2020-04
1062,Y62,RTX,Magnetic Resonance Imaging,Apr,19,2020,2020-04
1065,Y62,RTX,Positron Emission Tomography,Apr,2.5,2020,2020-04
1067,Y62,RWW,Computerized Axial Tomography,Apr,0,2020,2020-04
1070,Y62,RWW,Magnetic Resonance Imaging,Apr,9,2020,2020-04
1073,Y62,RWW,Positron Emission Tomography,Apr,5,2020,2020-04
1075,Y62,RBL,Computerized Axial Tomography,Apr,0,2020,2020-04
1078,Y62,RBL,Magnetic Resonance Imaging,Apr,3,2020,2020-04
1081,Y62,RBL,Positron Emission Tomography,Apr,0,2020,2020-04
1083,Y62,RRF,Computerized Axial Tomography,Apr,0,2020,2020-04
1086,Y62,RRF,Magnetic Resonance Imaging,Apr,3,2020,2020-04
1090,Y63,RCF,Computerized Axial Tomography,Apr,0,2020,2020-04
1093,Y63,RCF,Magnetic Resonance Imaging,Apr,3,2020,2020-04
1096,Y63,NT9,Magnetic Resonance Imaging,Apr,7,2020,2020-04
1097,Y63,NT9,Positron Emission Tomography,Apr,6,2020,2020-04
1098,Y63,RFF,Computerized Axial Tomography,Apr,0,2020,2020-04
1101,Y63,RFF,Magnetic Resonance Imaging,Apr,2,2020,2020-04
1108,Y63,NT4,Magnetic Resonance Imaging,Apr,4,2020,2020-04
1110,Y63,RAE,Computerized Axial Tomography,Apr,0,2020,2020-04
1113,Y63,RAE,Magnetic Resonance Imaging,Apr,6,2020,2020-04
1116,Y63,RAE,Positron Emission Tomography,Apr,7,2020,2020-04
1118,Y63,RWY,Computerized Axial Tomography,Apr,0,2020,2020-04
1121,Y63,RWY,Magnetic Resonance Imaging,Apr,4,2020,2020-04
1126,Y63,RXP,Computerized Axial Tomography,Apr,20.5,2020,2020-04
1129,Y63,RXP,Magnetic Resonance Imaging,Apr,33,2020,2020-04
1133,Y63,RP5,Computerized Axial Tomography,Apr,0,2020,2020-04
1136,Y63,RP5,Magnetic Resonance Imaging,Apr,2,2020,2020-04
1140,Y63,RR7,Computerized Axial Tomography,Apr,0,2020,2020-04
1143,Y63,RR7,Magnetic Resonance Imaging,Apr,1,2020,2020-04
1146,Y63,RR7,Positron Emission Tomography,Apr,8,2020,2020-04
1148,Y63,RCD,Computerized Axial Tomography,Apr,0,2020,2020-04
1151,Y63,RCD,Magnetic Resonance Imaging,Apr,5,2020,2020-04
1154,Y63,RCD,Positron Emission Tomography,Apr,6,2020,2020-04
1156,Y63,RWA,Computerized Axial Tomography,Apr,0,2020,2020-04
1159,Y63,RWA,Magnetic Resonance Imaging,Apr,11,2020,2020-04
1163,Y63,NV1,Magnetic Resonance Imaging,Apr,12,2020,2020-04
1164,Y63,RR8,Computerized Axial Tomography,Apr,0,2020,2020-04
1167,Y63,RR8,Magnetic Resonance Imaging,Apr,8,2020,2020-04
1170,Y63,RR8,Positron Emission Tomography,Apr,9,2020,2020-04
