,Region,Org Code,Provider name,Modality,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Year
17,Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Fluoroscopy,0,0,1,2,1,1,0,0,0,1,3,2,1
18,Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Magnetic Resonance Imaging,17,13,9,10,13,16,18,27,26,26,18,15,18
19,Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Nuclear Medicine Procedure,4.5,13.5,19,40,24.5,19,13.5,16,21,25,19.5,14,19
20,Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Y56,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Single Photon Emission Computerized Tomography,0,0,0,0,0,12.5,1,4,5,10.5,3,2,2
22,Y56,R1H,Barts Health NHS Trust,Computerized Axial Tomography,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Y56,R1H,Barts Health NHS Trust,Diagnostic Ultrasonography,13,6,8,12,16,23,25,23,18,12,13,15,15
24,Y56,R1H,Barts Health NHS Trust,Fluoroscopy,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Y56,R1H,Barts Health NHS Trust,Magnetic Resonance Imaging,16,8,11,14,21,28,30,26,27,31,24,17,22
26,Y56,R1H,Barts Health NHS Trust,Nuclear Medicine Procedure,5,7,10,13,14,13.5,11,11,13,15,7,10,11
27,Y56,R1H,Barts Health NHS Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Y56,R1H,Barts Health NHS Trust,Positron Emission Tomography,11,8.5,9,15.5,20,16,15,21,27,24,13,14,17
29,Y56,R1H,Barts Health NHS Trust,Single Photon Emission Computerized Tomography,.,*,22,84.5,34,28.5,27.5,29,35,30,38,47.5,30
30,Y56,NT4,BMI Healthcare,Computerized Axial Tomography,0,6.5,3,2,3,3,6,3,2,3,3,3,3
31,Y56,NT4,BMI Healthcare,Diagnostic Ultrasonography,1,1,3,3,6,7,7,7,7,7,8,8,6
32,Y56,NT4,BMI Healthcare,Fluoroscopy,2.5,0,0,3,4,4,7,6,0,7,0,4,2
33,Y56,NT4,BMI Healthcare,Magnetic Resonance Imaging,0,1,7,8,9,12,16,21,21.5,27,15,14,14
34,Y56,NT4,BMI Healthcare,Nuclear Medicine Procedure,.,.,.,.,.,.,.,.,.,.,.,*,*
35,Y56,NT4,BMI Healthcare,Plain Radiography,0,0,0.5,0,0,0,3,0,0,0,0,0,0
36,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Diagnostic Ultrasonography,14,12,24,0,14,0,0,0,0,16,0,0,0
38,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Fluoroscopy,1,1,1,0,4,0,0,0,0,7,0,0,0
39,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Magnetic Resonance Imaging,4,5,19,0,20,0,0,0,0,14,2,0,0
40,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Nuclear Medicine Procedure,3.5,9,9,0,28.5,0,0,0,0,31,1,0,0
41,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Positron Emission Tomography,.,.,.,.,.,.,.,*,.,93,5,0,58.5
43,Y56,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Single Photon Emission Computerized Tomography,.,.,14,33.5,65,0,0,0,0,55,2,0,0
44,Y56,RJ6,Croydon Health Services NHS Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Y56,RJ6,Croydon Health Services NHS Trust,Diagnostic Ultrasonography,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Y56,RJ6,Croydon Health Services NHS Trust,Fluoroscopy,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Y56,RJ6,Croydon Health Services NHS Trust,Magnetic Resonance Imaging,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Y56,RJ6,Croydon Health Services NHS Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Y56,RVR,Epsom and St Helier University Hospitals NHS Trust,Computerized Axial Tomography,0,0,0,0,0,0,1,1,1,0,0,0,0
50,Y56,RVR,Epsom and St Helier University Hospitals NHS Trust,Diagnostic Ultrasonography,4,9,13,14,31,40,30,23,10,7,7,12,14
51,Y56,RVR,Epsom and St Helier University Hospitals NHS Trust,Fluoroscopy,2.5,2,3,4,7,14,9,11,7,10,10,8,7
52,Y56,RVR,Epsom and St Helier University Hospitals NHS Trust,Magnetic Resonance Imaging,27.5,21,15.5,19,19,19,15,19,16,25,23,14,18
53,Y56,RVR,Epsom and St Helier University Hospitals NHS Trust,Nuclear Medicine Procedure,20,15,17,11,57,50,22,20,13,21,10,13,21
54,Y56,RVR,Epsom and St Helier University Hospitals NHS Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Y56,RVR,Epsom and St Helier University Hospitals NHS Trust,Single Photon Emission Computerized Tomography,8,15,13,8.5,30,28,15,11,10,12,8,11,12.5
56,Y56,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Computerized Axial Tomography,0,1,5,7,17,8,7.5,9,6,2,7,7,5
57,Y56,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Diagnostic Ultrasonography,1,1,4,8,19,42,30,26,14,6,12,21,12
58,Y56,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Fluoroscopy,2,2,3,5,5,7,8,6,4,4,4,6,5
59,Y56,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Magnetic Resonance Imaging,6,8,81,65,35,35,37,29,28,36,35,35,36
60,Y56,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Nuclear Medicine Procedure,14.5,12,32,46.5,39,50,57,43,41,59,60.5,56.5,48
61,Y56,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Y56,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,Single Photon Emission Computerized Tomography,51,13,7.5,24.5,28,21.5,26.5,26,8,23.5,13,9,14
63,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Computerized Axial Tomography,0,0,1,2,2,5,4,2,1,0,1,4,1
64,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Diagnostic Ultrasonography,5,3,5,7,12,11,10,10,9,10,10,12,9
65,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Fluoroscopy,1,1,1,1,1,2,2,1,1,1,2,3,1
66,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Magnetic Resonance Imaging,5,4,11,20,37,40,35,32,22,26,26,21,24
67,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Nuclear Medicine Procedure,6,9.5,12,16,14,13,13,14,14,21,14,16,14
68,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Positron Emission Tomography,17.5,20.5,32,21.5,19.5,35.5,22,22,14,41,24,25,25
70,Y56,RJ1,Guy's and St Thomas' NHS Foundation Trust,Single Photon Emission Computerized Tomography,3,3,7,5.5,5,7,8,8.5,6.5,7,2,6,6
71,Y56,NW6,HCA International,Computerized Axial Tomography,.,.,108,101,56,36,.,.,.,.,.,.,99
72,Y56,NW6,HCA International,Diagnostic Ultrasonography,.,.,.,55,21,.,.,.,.,.,.,.,22.5
73,Y56,NW6,HCA International,Magnetic Resonance Imaging,.,.,97,71.5,51,177,.,.,.,.,.,.,61.5
74,Y56,NW6,HCA International,Plain Radiography,.,.,*,.,.,.,.,.,.,.,.,.,*
75,Y56,RQX,Homerton University Hospital NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Y56,RQX,Homerton University Hospital NHS Foundation Trust,Diagnostic Ultrasonography,0,0,1,7,9,9,13,9,9,8,8,9,8
77,Y56,RQX,Homerton University Hospital NHS Foundation Trust,Fluoroscopy,1,1,1,1,2,2,1,3,2,3,8,2,1
78,Y56,RQX,Homerton University Hospital NHS Foundation Trust,Magnetic Resonance Imaging,1,1,1,6,15,12,14,17,13,12,9,7,9
79,Y56,RQX,Homerton University Hospital NHS Foundation Trust,Nuclear Medicine Procedure,8,14.5,49,19.5,15.5,13,13,17,13,12,19,15,14
80,Y56,RQX,Homerton University Hospital NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Y56,RQX,Homerton University Hospital NHS Foundation Trust,Single Photon Emission Computerized Tomography,.,.,.,.,.,.,0,0,0,0,0,0,0
82,Y56,RYJ,Imperial College Healthcare NHS Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Y56,RYJ,Imperial College Healthcare NHS Trust,Diagnostic Ultrasonography,1,2,5,16,23,24,23,20,20,23,16,18,18
84,Y56,RYJ,Imperial College Healthcare NHS Trust,Fluoroscopy,1,2,3,5,5,6,7.5,10,7.5,5,3,5,5
85,Y56,RYJ,Imperial College Healthcare NHS Trust,Magnetic Resonance Imaging,3,5,8,15,21,24,28,25,25,27,16,15,19
86,Y56,RYJ,Imperial College Healthcare NHS Trust,Nuclear Medicine Procedure,10,8,12,34,22,18,16,14,12,22,12,10,14
87,Y56,RYJ,Imperial College Healthcare NHS Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Y56,RYJ,Imperial College Healthcare NHS Trust,Positron Emission Tomography,15,11,9,12,8.5,12,13,13,16,26,19,18,14
89,Y56,RYJ,Imperial College Healthcare NHS Trust,Single Photon Emission Computerized Tomography,29,12,14,26,29,21,21,18.5,16,24.5,11,13,21
90,Y56,NV1,InHealth Limited,Computerized Axial Tomography,.,.,*,130,64,76,82,10,12.5,12.5,12,11,34
91,Y56,NV1,InHealth Limited,Diagnostic Ultrasonography,34,17,18,16,24,39,41,46,48,56,52,39,37
92,Y56,NV1,InHealth Limited,Fluoroscopy,.,.,.,*,98.5,194,63,24.5,23,18,17,15,28
93,Y56,NV1,InHealth Limited,Magnetic Resonance Imaging,23,10,16,22,31,37,36,40,47,44,25,19,29
94,Y56,NV1,InHealth Limited,Plain Radiography,6,5,8,18,26,35,39,35,53,57,37,31,32
95,Y56,RJZ,King's College Hospital NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Y56,RJZ,King's College Hospital NHS Foundation Trust,Diagnostic Ultrasonography,0,1,1,3,6,10,13,14,13,4,6,7,5
97,Y56,RJZ,King's College Hospital NHS Foundation Trust,Fluoroscopy,1,1,1,1,1,1,1,1,1,1,1,1,1
98,Y56,RJZ,King's College Hospital NHS Foundation Trust,Magnetic Resonance Imaging,12,6,15,20,23,24,27,30,32,22,23,21.5,23
99,Y56,RJZ,King's College Hospital NHS Foundation Trust,Nuclear Medicine Procedure,5,10,11,13,21,15,17,14,15,7,9,15,14
100,Y56,RJZ,King's College Hospital NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Y56,RJZ,King's College Hospital NHS Foundation Trust,Positron Emission Tomography,11,9,9,9,10,12,10,12,10,15,13,10,11
102,Y56,RJZ,King's College Hospital NHS Foundation Trust,Single Photon Emission Computerized Tomography,4,21.5,12,13.5,21,16,20.5,14,18,7,7,30,16
103,Y56,RAX,Kingston Hospital NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,1,0,0,1,1,1,1,0
104,Y56,RAX,Kingston Hospital NHS Foundation Trust,Diagnostic Ultrasonography,0,0,1,1,2,4,9,3,2,5,11,9,3
105,Y56,RAX,Kingston Hospital NHS Foundation Trust,Fluoroscopy,1,0,0,1,0,1,3,8.5,2,1,1,3,1
106,Y56,RAX,Kingston Hospital NHS Foundation Trust,Magnetic Resonance Imaging,1,3,7,12,7,7,9,8,8,5,6,7,7
107,Y56,RAX,Kingston Hospital NHS Foundation Trust,Nuclear Medicine Procedure,9,12.5,12,19,15.5,16,9,12,9,16.5,7,9.5,13
108,Y56,RAX,Kingston Hospital NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Y56,RAX,Kingston Hospital NHS Foundation Trust,Single Photon Emission Computerized Tomography,.,*,*,135,59,30.5,18,24,28,37,11.5,23,28
110,Y56,RJ2,Lewisham and Greenwich NHS Trust,Computerized Axial Tomography,0,0,0,1,1,0,0,1,0,0,0,1,0
111,Y56,RJ2,Lewisham and Greenwich NHS Trust,Diagnostic Ultrasonography,17,14,13,11,21,28,30,25,29,30,23,25,22
112,Y56,RJ2,Lewisham and Greenwich NHS Trust,Fluoroscopy,1,1,5,3,8,14,11,8,7,9.5,4,6,6
113,Y56,RJ2,Lewisham and Greenwich NHS Trust,Magnetic Resonance Imaging,6,3,6,9,25,10,10,6,6,6,8,12,8
114,Y56,RJ2,Lewisham and Greenwich NHS Trust,Nuclear Medicine Procedure,5,6,4,7,12,13,14,13,7,11,10.5,11,11
115,Y56,RJ2,Lewisham and Greenwich NHS Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Y56,RJ2,Lewisham and Greenwich NHS Trust,Positron Emission Tomography,.,.,.,.,.,.,.,.,.,0,.,.,0
117,Y56,RJ2,Lewisham and Greenwich NHS Trust,Single Photon Emission Computerized Tomography,3.5,5,2,6,10,8,5,6,3,6,5,7,6
118,Y56,R1K,London North West University Healthcare NHS Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Y56,R1K,London North West University Healthcare NHS Trust,Diagnostic Ultrasonography,8,6,7,17,18,9,9,9,9,10,8,11,10
120,Y56,R1K,London North West University Healthcare NHS Trust,Fluoroscopy,0,0,0,0,0,1,1,0,0,1,0,0,0
121,Y56,R1K,London North West University Healthcare NHS Trust,Magnetic Resonance Imaging,3,7,9,25,29,27.5,20,16,17,19,15,18,18
122,Y56,R1K,London North West University Healthcare NHS Trust,Nuclear Medicine Procedure,15,70,78.5,50,33,18,19,23,20,28,16.5,16,22
123,Y56,R1K,London North West University Healthcare NHS Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Y56,R1K,London North West University Healthcare NHS Trust,Positron Emission Tomography,.,.,.,.,.,.,*,.,.,.,.,.,*
125,Y56,R1K,London North West University Healthcare NHS Trust,Single Photon Emission Computerized Tomography,.,.,.,.,*,67,26.5,*,32,29,31,.,30
126,Y56,RP6,Moorfields Eye Hospital NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Y56,RP6,Moorfields Eye Hospital NHS Foundation Trust,Diagnostic Ultrasonography,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Y56,RP6,Moorfields Eye Hospital NHS Foundation Trust,Fluoroscopy,.,.,.,.,3,0,*,3.5,31,46.5,.,14,3
129,Y56,RP6,Moorfields Eye Hospital NHS Foundation Trust,Magnetic Resonance Imaging,34,15,28,22,33,21,21,30,26,32.5,36,33,26
130,Y56,RP6,Moorfields Eye Hospital NHS Foundation Trust,Nuclear Medicine Procedure,.,.,.,.,.,.,*,64.5,*,.,99,18,64.5
131,Y56,RP6,Moorfields Eye Hospital NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Y56,RAP,North Middlesex University Hospital NHS Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Y56,RAP,North Middlesex University Hospital NHS Trust,Diagnostic Ultrasonography,1,1,1,2,12,13,8,12,14,3,2,7,5
134,Y56,RAP,North Middlesex University Hospital NHS Trust,Fluoroscopy,0,1,1,0,0,0,0,0,0,0,0,1.5,0
135,Y56,RAP,North Middlesex University Hospital NHS Trust,Magnetic Resonance Imaging,1,1,1,6,12,15,9,13,15,4,7,9,8
136,Y56,RAP,North Middlesex University Hospital NHS Trust,Nuclear Medicine Procedure,5,5,3,2,4,11,8,6,8,8,7,6,6
137,Y56,RAP,North Middlesex University Hospital NHS Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Y56,RAP,North Middlesex University Hospital NHS Trust,Positron Emission Tomography,.,.,.,.,.,.,.,.,.,.,.,*,*
139,Y56,RAP,North Middlesex University Hospital NHS Trust,Single Photon Emission Computerized Tomography,*,*,4,3.5,4.5,12,7,5,7,8,7,4,6
140,Y56,NVC,Ramsay Healthcare UK Operations Limited,Computerized Axial Tomography,*,.,*,.,.,16,.,34,.,*,*,*,16
141,Y56,NVC,Ramsay Healthcare UK Operations Limited,Diagnostic Ultrasonography,.,.,*,7,11,6,22,10,20,13,8.5,13,13
142,Y56,NVC,Ramsay Healthcare UK Operations Limited,Fluoroscopy,.,.,.,.,*,0,0,0,0,.,0,0,0
143,Y56,NVC,Ramsay Healthcare UK Operations Limited,Magnetic Resonance Imaging,4,61,79,21,21,34.5,45.5,41,35,33,17.5,17.5,29.5
144,Y56,NVC,Ramsay Healthcare UK Operations Limited,Plain Radiography,.,.,*,0,2,0,0,0,0,0,0,0,0
145,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Computerized Axial Tomography,.,.,.,.,.,.,.,.,.,.,.,.,.
146,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Diagnostic Ultrasonography,2,2,8,15,19.5,20,19,20,17,3.5,.,.,16
147,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Fluoroscopy,1,3,7,9,14,13,8,12,7,3,.,.,7
148,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Magnetic Resonance Imaging,1.5,7,7,13,23,22.5,30,35.5,41.5,35,.,.,26
149,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Nuclear Medicine Procedure,8,9,9,16,30,35,41.5,48,51,54,.,.,29
150,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Plain Radiography,.,.,.,.,.,0,.,.,.,.,.,.,0
151,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Positron Emission Tomography,.,.,.,.,.,.,.,.,.,.,.,.,.
152,Y56,RT3,Royal Brompton & Harefield NHS Foundation Trust,Single Photon Emission Computerized Tomography,*,*,7,9,8,12.5,10,19,14,8,.,.,9
153,Y56,RAL,Royal Free London NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,1,1,1,0,0,0,0,0
154,Y56,RAL,Royal Free London NHS Foundation Trust,Diagnostic Ultrasonography,7,6,7,9,15,20,14,9,10,10,7,7,9
155,Y56,RAL,Royal Free London NHS Foundation Trust,Fluoroscopy,0,0,1,0,0,0,1,0,1,0,0,0,0
156,Y56,RAL,Royal Free London NHS Foundation Trust,Magnetic Resonance Imaging,7,4,7,11,21,28,20,20,17,17,10,10,14
157,Y56,RAL,Royal Free London NHS Foundation Trust,Nuclear Medicine Procedure,5,6,11,9.5,12,13,12,13,13,15,10,12,12
158,Y56,RAL,Royal Free London NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Y56,RAL,Royal Free London NHS Foundation Trust,Positron Emission Tomography,6,8,10,9,12,12,7,7,8,9,8,8,9
160,Y56,RAL,Royal Free London NHS Foundation Trust,Single Photon Emission Computerized Tomography,6,8,13,15,25,11,12.5,7,15,13.5,8,11,12
161,Y56,RAN,Royal National Orthopaedic Hospital NHS Trust,Computerized Axial Tomography,5,6,12,21,18,13,14,15,14.5,11,11,18.5,13
162,Y56,RAN,Royal National Orthopaedic Hospital NHS Trust,Diagnostic Ultrasonography,6,4,4,9.5,24,31,33,30,17,9,12,69,18
163,Y56,RAN,Royal National Orthopaedic Hospital NHS Trust,Fluoroscopy,0,0,14.5,76,90,115,75.5,51,54,30,22,98,59.5
164,Y56,RAN,Royal National Orthopaedic Hospital NHS Trust,Magnetic Resonance Imaging,7,6,28,87,69,41,29,30,27,21,21,23,29
165,Y56,RAN,Royal National Orthopaedic Hospital NHS Trust,Nuclear Medicine Procedure,41,.,.,*,.,*,148,.,.,*,*,.,41
166,Y56,RAN,Royal National Orthopaedic Hospital NHS Trust,Plain Radiography,0,0,1,2,3,4,3,4,4,4,6,4,3
167,Y56,RAN,Royal National Orthopaedic Hospital NHS Trust,Single Photon Emission Computerized Tomography,50,14,114.5,107.5,39,49,119,201,117,125,158,147,105
168,Y56,RV5,South London and Maudsley NHS Foundation Trust,Magnetic Resonance Imaging,42.5,65,35,20,21,25,23,21,17,33,21,46,26
169,Y56,NT3,Spire Healthcare,Computerized Axial Tomography,4,6,8,11,12.5,16,14.5,13,14,6,4,5.5,7
170,Y56,NT3,Spire Healthcare,Diagnostic Ultrasonography,34,5,77,10.5,6.5,178.5,27,20,21,23,12,18,21
171,Y56,NT3,Spire Healthcare,Fluoroscopy,0,.,*,*,*,0,1,1,1,1,1,1,1
172,Y56,NT3,Spire Healthcare,Magnetic Resonance Imaging,3,6,14,8.5,16,11,21,27,23,27.5,20,24,22
173,Y56,NT3,Spire Healthcare,Plain Radiography,0,*,0,16,0,0,0,0,0,0,0,0,0
174,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,1,1,0,1,0,0,0,0,0
175,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Diagnostic Ultrasonography,0,6,7,11,22,30,25,21,21,28,18,14,19
176,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Fluoroscopy,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,37,14,5,7,9,12,13,15,16,18,12,14,12
178,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Nuclear Medicine Procedure,14,8,15,20,20,18,16,19,17,20,17,17,18
179,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Positron Emission Tomography,11,7,7,8.5,8,8,9,8,9,7.5,10,7,8
181,Y56,RJ7,St George's University Hospitals NHS Foundation Trust,Single Photon Emission Computerized Tomography,30,10,28,21,20,24,21,21,18.5,21.5,24,21,21
182,Y56,RAS,The Hillingdon Hospitals NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Y56,RAS,The Hillingdon Hospitals NHS Foundation Trust,Diagnostic Ultrasonography,1,1,1,1,1,3,3,3,3,3,1,3,1
184,Y56,RAS,The Hillingdon Hospitals NHS Foundation Trust,Fluoroscopy,2,3,5,4,7,11,4.5,6,28,9,16,13.5,7
185,Y56,RAS,The Hillingdon Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,2,2,3,11,13.5,14,21,25,23.5,40,20,22,17
186,Y56,RAS,The Hillingdon Hospitals NHS Foundation Trust,Nuclear Medicine Procedure,3.5,7.5,26.5,120,19,18,16,12,10,21,17,18,17
187,Y56,RAS,The Hillingdon Hospitals NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Y56,RAS,The Hillingdon Hospitals NHS Foundation Trust,Single Photon Emission Computerized Tomography,.,*,100,118,35,23,16,11.5,8,21,23,24,22
189,Y56,RPY,The Royal Marsden NHS Foundation Trust,Computerized Axial Tomography,19,22,28,25,21,23,19,21,23,29,22,21,22
190,Y56,RPY,The Royal Marsden NHS Foundation Trust,Diagnostic Ultrasonography,1,1,2,1,1,1,1,0,0,1,1,0,1
191,Y56,RPY,The Royal Marsden NHS Foundation Trust,Fluoroscopy,2,2,3,2,1,7,3,9,3,4,4,6,4
192,Y56,RPY,The Royal Marsden NHS Foundation Trust,Magnetic Resonance Imaging,20,39,32,27,26.5,29,19,23,21.5,28,22,23,25
193,Y56,RPY,The Royal Marsden NHS Foundation Trust,Nuclear Medicine Procedure,20,11,11,10,8,8,9,9,10,11,9,10,9
194,Y56,RPY,The Royal Marsden NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Y56,RPY,The Royal Marsden NHS Foundation Trust,Positron Emission Tomography,11,7,7,6,7,7,7,7,8,8,7,7,7
196,Y56,RPY,The Royal Marsden NHS Foundation Trust,Single Photon Emission Computerized Tomography,7,9,11,21,15.5,12,18,11,15.5,20,12,13.5,14
197,Y56,RRV,University College London Hospitals NHS Foundation Trust,Computerized Axial Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Y56,RRV,University College London Hospitals NHS Foundation Trust,Diagnostic Ultrasonography,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Y56,RRV,University College London Hospitals NHS Foundation Trust,Fluoroscopy,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Y56,RRV,University College London Hospitals NHS Foundation Trust,Magnetic Resonance Imaging,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Y56,RRV,University College London Hospitals NHS Foundation Trust,Nuclear Medicine Procedure,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Y56,RRV,University College London Hospitals NHS Foundation Trust,Plain Radiography,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Y56,RRV,University College London Hospitals NHS Foundation Trust,Positron Emission Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Y56,RRV,University College London Hospitals NHS Foundation Trust,Single Photon Emission Computerized Tomography,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Y56,RKE,Whittington Health NHS Trust,Computerized Axial Tomography,.,.,.,.,.,.,.,.,.,.,.,.,.
